suburb,postcode,lga,crime_totalIncidents,crime_year,crime_offence1,crime_offence1_proportion,crime_offence2,crime_offence2_proportion,crime_offence3,crime_offence3_proportion,crime_offence4,crime_offence4_proportion,crime_offence5,crime_offence5_proportion,crimeLga_ratePer100k,crimeLga_melbourneRank,crimeLga_melbourneRankPercentile,rent_region,rent_period,rent_1brFlat,rent_2brFlat,rent_3brFlat,rent_2brHouse,rent_3brHouse,rent_4brHouse,rent_all,rent_1brFlat_rank,rent_2brFlat_rank,rent_3brFlat_rank,rent_2brHouse_rank,rent_3brHouse_rank,rent_4brHouse_rank,rent_all_rank,rent_1brFlat_percentile,rent_2brFlat_percentile,rent_3brFlat_percentile,rent_2brHouse_percentile,rent_3brHouse_percentile,rent_4brHouse_percentile,rent_all_percentile
St Andrews,3761,Nillumbik,18,2025,E21 Breach family violence order,0.3333,Other crimes against the person,0.1111,B53 Obtain benefit by deception,0.1111,A211 FV Serious assault,0.0556,A212 Non-FV Serious assault,0.0556,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
St Andrews Beach,3941,Mornington Peninsula,17,2025,B321 Residential non-aggravated burglary,0.2353,B42 Steal from a motor vehicle,0.1765,Other crimes against the person,0.1176,B311 Residential aggravated burglary,0.1176,B41 Motor vehicle theft,0.1176,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
St Helena,3088,Banyule,83,2025,B43 Steal from a retail store,0.3133,B42 Steal from a motor vehicle,0.1687,B21 Criminal damage,0.0602,B49 Other theft,0.0602,B22 Graffiti,0.0482,6137.2,13,61.3,,,,,,,,,,,,,,,,,,,,,,,
St Kilda,3182,Port Phillip,3366,2025,B42 Steal from a motor vehicle,0.1726,B49 Other theft,0.1081,B21 Criminal damage,0.0885,B321 Residential non-aggravated burglary,0.0657,A232 Non-FV Common assault,0.044,11004.1,3,93.5,Inner Melbourne,2025-09-30,465,630,890,728,950,1105,560,15,14,9,11,9,18,29,84.4,86.9,91.9,89.7,91.8,82.1,72.0
St Kilda East,3183,Glen Eira,628,2025,B42 Steal from a motor vehicle,0.2452,B21 Criminal damage,0.1051,B49 Other theft,0.0812,B321 Residential non-aggravated burglary,0.078,B41 Motor vehicle theft,0.078,3838.9,28,12.9,,,,,,,,,,,,,,,,,,,,,,,
St Kilda West,3182,Port Phillip,259,2025,B42 Steal from a motor vehicle,0.251,B41 Motor vehicle theft,0.112,B21 Criminal damage,0.0927,B321 Residential non-aggravated burglary,0.0927,B49 Other theft,0.0849,11004.1,3,93.5,,,,,,,,,,,,,,,,,,,,,,,
Steels Creek,3775,Yarra Ranges,3,2025,B21 Criminal damage,1.0,,,,,,,,,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Strathewen,3099,Nillumbik,2,2025,B21 Criminal damage,0.5,B49 Other theft,0.5,,,,,,,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Strathtulloh,3338,Melton,361,2025,B49 Other theft,0.1773,B42 Steal from a motor vehicle,0.108,B43 Steal from a retail store,0.1025,B41 Motor vehicle theft,0.0776,B21 Criminal damage,0.0748,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Sunbury,3429,Hume,2112,2025,B42 Steal from a motor vehicle,0.1278,B49 Other theft,0.1212,E21 Breach family violence order,0.0923,B21 Criminal damage,0.08,B43 Steal from a retail store,0.0653,6346.4,11,67.7,North Western Melbourne,2025-09-30,,440,480,440,490,570,520,,44,58,47,48,60,34,,56.6,42.4,52.6,52.0,37.9,67.0
Sunshine,3020,Brimbank,2536,2025,E23 Breach bail conditions,0.2114,B42 Steal from a motor vehicle,0.1459,B49 Other theft,0.0848,B21 Criminal damage,0.0599,B41 Motor vehicle theft,0.0394,7366.8,9,74.2,Outer Western Melbourne,2025-09-30,330,410,530,460,495,600,480,36,46,52,45,47,57,38,61.1,54.5,48.5,54.6,53.1,41.1,63.0
Sunshine North,3020,Brimbank,1088,2025,B42 Steal from a motor vehicle,0.2417,B41 Motor vehicle theft,0.1075,B43 Steal from a retail store,0.0809,B49 Other theft,0.0781,B21 Criminal damage,0.0744,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Sunshine West,3020,Brimbank,1088,2025,B42 Steal from a motor vehicle,0.2298,B49 Other theft,0.1369,B41 Motor vehicle theft,0.0763,B21 Criminal damage,0.0699,B321 Residential non-aggravated burglary,0.0662,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Surrey Hills,3127,Whitehorse,435,2025,B42 Steal from a motor vehicle,0.3563,B41 Motor vehicle theft,0.0966,B321 Residential non-aggravated burglary,0.0759,B49 Other theft,0.0736,B21 Criminal damage,0.0598,5032.8,23,29.0,Inner Eastern Melbourne,2025-09-30,450,570,740,620,800,1100,678,18,24,24,23,16,19,14,81.1,76.8,76.8,77.3,84.7,81.1,87.0
Sydenham,3037,Brimbank,477,2025,B42 Steal from a motor vehicle,0.2222,B49 Other theft,0.13,E21 Breach family violence order,0.0985,B21 Criminal damage,0.0797,B41 Motor vehicle theft,0.0608,7366.8,9,74.2,Outer Western Melbourne,2025-09-30,,450,460,440,480,530,500,,43,59,47,49,63,36,,57.6,41.4,52.6,51.0,34.7,65.0
Tarneit,3029,Wyndham,3562,2025,B42 Steal from a motor vehicle,0.1943,B49 Other theft,0.192,B41 Motor vehicle theft,0.0845,B21 Criminal damage,0.0646,B321 Residential non-aggravated burglary,0.0452,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Tarrawarra,3775,Yarra Ranges,1,2025,D35 Improper movement on public or private space,1.0,,,,,,,,,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Taylors Hill,3037,Melton,310,2025,B43 Steal from a retail store,0.1484,B42 Steal from a motor vehicle,0.1387,B41 Motor vehicle theft,0.0645,B21 Criminal damage,0.0613,B49 Other theft,0.0581,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Taylors Lakes,3038,Brimbank,1044,2025,B42 Steal from a motor vehicle,0.2634,B43 Steal from a retail store,0.1188,B41 Motor vehicle theft,0.1092,B49 Other theft,0.0776,B53 Obtain benefit by deception,0.0489,7366.8,9,74.2,,,,,,,,,,,,,,,,,,,,,,,
Tecoma,3160,Yarra Ranges,52,2025,B42 Steal from a motor vehicle,0.2308,B21 Criminal damage,0.0962,B41 Motor vehicle theft,0.0962,E21 Breach family violence order,0.0769,A211 FV Serious assault,0.0577,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Templestowe,3106,Manningham,423,2025,B42 Steal from a motor vehicle,0.1986,B321 Residential non-aggravated burglary,0.1489,B49 Other theft,0.0969,E21 Breach family violence order,0.0851,B311 Residential aggravated burglary,0.0591,3100.2,30,6.5,Inner Eastern Melbourne,2025-09-30,480,595,720,570,660,820,670,13,18,28,30,27,34,16,86.7,82.8,72.7,70.1,73.5,65.3,85.0
Templestowe Lower,3107,Manningham,369,2025,B42 Steal from a motor vehicle,0.206,B49 Other theft,0.0949,B321 Residential non-aggravated burglary,0.0786,B21 Criminal damage,0.065,B53 Obtain benefit by deception,0.0623,3100.2,30,6.5,,,,,,,,,,,,,,,,,,,,,,,
The Basin,3154,Knox,174,2025,B42 Steal from a motor vehicle,0.1782,B21 Criminal damage,0.1207,B49 Other theft,0.0805,E21 Breach family violence order,0.0805,B322 Non-residential non-aggravated burglary,0.069,4872.9,25,22.6,,,,,,,,,,,,,,,,,,,,,,,
The Patch,3792,Yarra Ranges,5,2025,"A22 Assault police, emergency services or other authorised officer",0.2,B19 Other fire related offences,0.2,B21 Criminal damage,0.2,B49 Other theft,0.2,E21 Breach family violence order,0.2,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Thomastown,3074,Whittlesea,2087,2025,B42 Steal from a motor vehicle,0.1648,B49 Other theft,0.1557,B21 Criminal damage,0.092,B41 Motor vehicle theft,0.0733,B322 Non-residential non-aggravated burglary,0.0465,5327.2,21,35.5,North Eastern Melbourne,2025-09-30,375,450,501,470,510,590,500,30,43,54,44,44,58,36,67.8,57.6,46.5,55.7,56.1,40.0,65.0
Thornbury,3071,Darebin,1291,2025,B42 Steal from a motor vehicle,0.3083,B41 Motor vehicle theft,0.0937,B49 Other theft,0.0937,B21 Criminal damage,0.0775,B321 Residential non-aggravated burglary,0.0503,8504.0,8,77.4,North Eastern Melbourne,2025-09-30,400,520,748,650,798,960,525,26,32,23,21,17,24,33,72.2,68.7,77.8,79.4,83.7,75.8,68.0
Thornhill Park,3335,Melton,396,2025,B49 Other theft,0.2298,B42 Steal from a motor vehicle,0.2071,B41 Motor vehicle theft,0.0808,E21 Breach family violence order,0.0707,B21 Criminal damage,0.0556,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Three Bridges,3797,Yarra Ranges,13,2025,E21 Breach family violence order,0.3077,B21 Criminal damage,0.1538,B49 Other theft,0.1538,A212 Non-FV Serious assault,0.0769,A231 FV Common assault,0.0769,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Tonimbuk,3815,Cardinia,,,,,,,,,,,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Toolangi,3777,Yarra Ranges,14,2025,B42 Steal from a motor vehicle,0.2143,B49 Other theft,0.2143,A231 FV Common assault,0.1429,B41 Motor vehicle theft,0.1429,B21 Criminal damage,0.0714,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Toolern Vale,3337,Melton,61,2025,B49 Other theft,0.2787,B21 Criminal damage,0.1148,B322 Non-residential non-aggravated burglary,0.082,B42 Steal from a motor vehicle,0.0492,B53 Obtain benefit by deception,0.0492,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Tooradin,3980,Casey,140,2025,E21 Breach family violence order,0.1286,B322 Non-residential non-aggravated burglary,0.1143,B21 Criminal damage,0.1,B42 Steal from a motor vehicle,0.1,B321 Residential non-aggravated burglary,0.0643,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Toorak,3142,Stonnington,776,2025,B42 Steal from a motor vehicle,0.2925,B321 Residential non-aggravated burglary,0.1044,B21 Criminal damage,0.0722,B43 Steal from a retail store,0.0631,B41 Motor vehicle theft,0.0606,9532.0,6,83.9,Inner Melbourne,2025-09-30,445,650,1000,695,1250,1875,688,19,11,6,16,1,1,12,80.0,89.9,94.9,84.5,100.0,100.0,89.0
Toorongo,3833,Yarra Ranges,,,,,,,,,,,,,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Tootgarook,3941,Mornington Peninsula,178,2025,E21 Breach family violence order,0.1798,B321 Residential non-aggravated burglary,0.1067,B21 Criminal damage,0.0843,B42 Steal from a motor vehicle,0.0674,B49 Other theft,0.0674,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Tottenham,3012,Maribyrnong,147,2025,B322 Non-residential non-aggravated burglary,0.1837,B42 Steal from a motor vehicle,0.1837,B53 Obtain benefit by deception,0.1088,B41 Motor vehicle theft,0.0816,B49 Other theft,0.068,10545.5,4,90.3,,,,,,,,,,,,,,,,,,,,,,,
Tremont,3785,Yarra Ranges,4,2025,B49 Other theft,0.5,B21 Criminal damage,0.25,B322 Non-residential non-aggravated burglary,0.25,,,,,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Truganina,3029,Wyndham,2476,2025,B42 Steal from a motor vehicle,0.2149,B49 Other theft,0.1858,B41 Motor vehicle theft,0.1054,B322 Non-residential non-aggravated burglary,0.0662,B21 Criminal damage,0.0569,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Tuerong,3915,Mornington Peninsula,26,2025,B49 Other theft,0.1923,B41 Motor vehicle theft,0.1538,B42 Steal from a motor vehicle,0.1538,B321 Residential non-aggravated burglary,0.0769,E13 Resist or hinder officer,0.0769,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Tullamarine,3043,Brimbank,948,2025,B42 Steal from a motor vehicle,0.3492,B41 Motor vehicle theft,0.1582,B49 Other theft,0.0696,B21 Criminal damage,0.0643,B322 Non-residential non-aggravated burglary,0.0549,7366.8,9,74.2,North Western Melbourne,2025-09-30,,450,553,500,530,620,530,,43,49,39,43,56,32,,57.6,51.5,60.8,57.1,42.1,69.0
Tyabb,3913,Mornington Peninsula,122,2025,B49 Other theft,0.0984,B21 Criminal damage,0.082,B322 Non-residential non-aggravated burglary,0.0738,B42 Steal from a motor vehicle,0.0738,E22 Breach intervention order,0.0738,5236.7,22,32.3,,,,,,,,,,,,,,,,,,,,,,,
Tynong,3813,Cardinia,20,2025,Other crimes against the person,0.25,B42 Steal from a motor vehicle,0.2,A212 Non-FV Serious assault,0.1,B21 Criminal damage,0.1,B322 Non-residential non-aggravated burglary,0.1,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Tynong North,3813,Cardinia,35,2025,B49 Other theft,0.2,B41 Motor vehicle theft,0.1714,B42 Steal from a motor vehicle,0.1429,A232 Non-FV Common assault,0.0571,Other crimes against the person,0.0571,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Upper Ferntree Gully,3156,Yarra Ranges,216,2025,B42 Steal from a motor vehicle,0.1898,B22 Graffiti,0.1528,B21 Criminal damage,0.0926,B41 Motor vehicle theft,0.0648,B49 Other theft,0.0648,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Upwey,3158,Yarra Ranges,188,2025,B42 Steal from a motor vehicle,0.25,B41 Motor vehicle theft,0.1011,B49 Other theft,0.0957,B21 Criminal damage,0.0904,B22 Graffiti,0.0691,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Vermont,3133,Whitehorse,347,2025,B42 Steal from a motor vehicle,0.268,B49 Other theft,0.0951,E21 Breach family violence order,0.0663,B322 Non-residential non-aggravated burglary,0.0605,B53 Obtain benefit by deception,0.0605,5032.8,23,29.0,Inner Eastern Melbourne,2025-09-30,530,578,650,540,630,750,650,5,22,38,32,30,42,17,95.6,78.8,62.6,68.0,70.4,56.8,84.0
Vermont South,3133,Whitehorse,540,2025,B42 Steal from a motor vehicle,0.2204,B43 Steal from a retail store,0.1185,B49 Other theft,0.0796,B41 Motor vehicle theft,0.0759,B321 Residential non-aggravated burglary,0.0704,5032.8,23,29.0,,,,,,,,,,,,,,,,,,,,,,,
Vervale,3814,Cardinia,1,2025,D11 Firearms offences,1.0,,,,,,,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Viewbank,3084,Banyule,116,2025,B42 Steal from a motor vehicle,0.2241,B311 Residential aggravated burglary,0.1034,B21 Criminal damage,0.069,Other crimes against the person,0.0603,B41 Motor vehicle theft,0.0517,6137.2,13,61.3,,,,,,,,,,,,,,,,,,,,,,,
Wandin East,3139,Yarra Ranges,10,2025,B19 Other fire related offences,0.2,B49 Other theft,0.2,B21 Criminal damage,0.1,B321 Residential non-aggravated burglary,0.1,B41 Motor vehicle theft,0.1,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Wandin North,3139,Yarra Ranges,84,2025,E21 Breach family violence order,0.1548,B49 Other theft,0.119,Other crimes against the person,0.0714,B53 Obtain benefit by deception,0.0714,B21 Criminal damage,0.0595,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Wantirna,3152,Knox,626,2025,B42 Steal from a motor vehicle,0.2572,E21 Breach family violence order,0.0895,B49 Other theft,0.0799,B41 Motor vehicle theft,0.0591,B21 Criminal damage,0.0575,4872.9,25,22.6,Outer Eastern Melbourne,2025-09-30,287,510,610,550,597,700,620,39,33,43,31,35,48,21,57.8,67.7,57.6,69.1,65.3,50.5,80.0
Wantirna South,3152,Knox,1429,2025,B43 Steal from a retail store,0.2419,B42 Steal from a motor vehicle,0.1287,B49 Other theft,0.1132,B21 Criminal damage,0.0537,B41 Motor vehicle theft,0.0502,4872.9,25,22.6,,,,,,,,,,,,,,,,,,,,,,,
Warburton,3799,Yarra Ranges,84,2025,B21 Criminal damage,0.1429,B49 Other theft,0.1429,B19 Other fire related offences,0.0714,B41 Motor vehicle theft,0.0595,B42 Steal from a motor vehicle,0.0595,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Warneet,3980,Casey,16,2025,B42 Steal from a motor vehicle,0.1875,B11 Cause damage by fire,0.125,E21 Breach family violence order,0.125,A211 FV Serious assault,0.0625,A212 Non-FV Serious assault,0.0625,5486.1,18,45.2,,,,,,,,,,,,,,,,,,,,,,,
Warrandyte,3113,Manningham,128,2025,B42 Steal from a motor vehicle,0.2031,B49 Other theft,0.1172,B21 Criminal damage,0.0781,B322 Non-residential non-aggravated burglary,0.0781,B53 Obtain benefit by deception,0.0625,3100.2,30,6.5,,,,,,,,,,,,,,,,,,,,,,,
Warrandyte South,3134,Manningham,9,2025,B42 Steal from a motor vehicle,0.3333,B53 Obtain benefit by deception,0.2222,Other crimes against the person,0.1111,B19 Other fire related offences,0.1111,B322 Non-residential non-aggravated burglary,0.1111,3100.2,30,6.5,,,,,,,,,,,,,,,,,,,,,,,
Warranwood,3134,Maroondah,53,2025,B42 Steal from a motor vehicle,0.3396,E21 Breach family violence order,0.0943,B21 Criminal damage,0.0755,A231 FV Common assault,0.0566,Other crimes against the person,0.0566,5643.1,16,51.6,,,,,,,,,,,,,,,,,,,,,,,
Waterways,3195,Kingston,54,2025,B42 Steal from a motor vehicle,0.2778,B311 Residential aggravated burglary,0.2407,A231 FV Common assault,0.0741,B21 Criminal damage,0.0741,B41 Motor vehicle theft,0.0741,5702.9,15,54.8,,,,,,,,,,,,,,,,,,,,,,,
Watsonia,3087,Banyule,366,2025,B43 Steal from a retail store,0.1557,B42 Steal from a motor vehicle,0.1448,E21 Breach family violence order,0.123,B21 Criminal damage,0.0847,B49 Other theft,0.0628,6137.2,13,61.3,,,,,,,,,,,,,,,,,,,,,,,
Watsonia North,3087,Banyule,128,2025,B42 Steal from a motor vehicle,0.2344,E21 Breach family violence order,0.1562,B321 Residential non-aggravated burglary,0.125,B21 Criminal damage,0.0625,B49 Other theft,0.0469,6137.2,13,61.3,,,,,,,,,,,,,,,,,,,,,,,
Watsons Creek,3097,Nillumbik,2,2025,E21 Breach family violence order,1.0,,,,,,,,,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Wattle Glen,3096,Nillumbik,27,2025,B21 Criminal damage,0.1111,E21 Breach family violence order,0.1111,B311 Residential aggravated burglary,0.0741,B321 Residential non-aggravated burglary,0.0741,B322 Non-residential non-aggravated burglary,0.0741,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Weir Views,3338,Melton,359,2025,B42 Steal from a motor vehicle,0.156,B49 Other theft,0.1281,A231 FV Common assault,0.0836,E21 Breach family violence order,0.0696,A211 FV Serious assault,0.0557,5388.3,20,38.7,,,,,,,,,,,,,,,,,,,,,,,
Werribee,3030,Wyndham,4114,2025,B42 Steal from a motor vehicle,0.1427,B49 Other theft,0.1038,B21 Criminal damage,0.0775,E23 Breach bail conditions,0.0729,E21 Breach family violence order,0.0634,5389.9,19,41.9,Outer Western Melbourne,2025-09-30,350,405,450,420,460,525,490,35,47,60,48,51,64,37,62.2,53.5,40.4,51.5,49.0,33.7,64.0
Werribee South,3030,Wyndham,175,2025,B42 Steal from a motor vehicle,0.1771,B41 Motor vehicle theft,0.16,B49 Other theft,0.0857,B21 Criminal damage,0.08,B322 Non-residential non-aggravated burglary,0.0686,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Wesburn,3799,Yarra Ranges,27,2025,B322 Non-residential non-aggravated burglary,0.1852,A212 Non-FV Serious assault,0.1111,B19 Other fire related offences,0.1111,E21 Breach family violence order,0.1111,B21 Criminal damage,0.0741,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
West Footscray,3012,Maribyrnong,749,2025,B42 Steal from a motor vehicle,0.3498,B49 Other theft,0.1188,B41 Motor vehicle theft,0.1081,B21 Criminal damage,0.0601,B322 Non-residential non-aggravated burglary,0.0414,10545.5,4,90.3,Outer Western Melbourne,2025-09-30,365,475,620,500,600,725,550,32,39,42,39,34,45,30,65.6,61.6,58.6,60.8,66.3,53.7,71.0
West Melbourne,3003,Melbourne,1246,2025,B42 Steal from a motor vehicle,0.1645,B49 Other theft,0.1413,B321 Residential non-aggravated burglary,0.0674,B21 Criminal damage,0.0666,B322 Non-residential non-aggravated burglary,0.0634,17671.9,1,100.0,Inner Melbourne,2025-09-30,525,660,882,650,853,1080,600,7,10,10,21,13,20,23,93.3,90.9,90.9,79.4,87.8,80.0,78.0
Westmeadows,3049,Hume,385,2025,B42 Steal from a motor vehicle,0.2597,B41 Motor vehicle theft,0.1039,B21 Criminal damage,0.0727,B49 Other theft,0.0727,B321 Residential non-aggravated burglary,0.0494,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Wheelers Hill,3150,Monash,600,2025,B42 Steal from a motor vehicle,0.2433,B321 Residential non-aggravated burglary,0.0983,B21 Criminal damage,0.0733,B49 Other theft,0.0733,E21 Breach family violence order,0.0733,5566.4,17,48.4,,,,,,,,,,,,,,,,,,,,,,,
Whittlesea,3757,Whittlesea,231,2025,B42 Steal from a motor vehicle,0.1515,E21 Breach family violence order,0.1169,B21 Criminal damage,0.0866,B41 Motor vehicle theft,0.0736,B49 Other theft,0.0736,5327.2,21,35.5,North Eastern Melbourne,2025-09-30,,440,500,450,510,550,540,,44,55,46,44,62,31,,56.6,45.5,53.6,56.1,35.8,70.0
Wildwood,3429,Hume,33,2025,B49 Other theft,0.2121,B21 Criminal damage,0.1515,B321 Residential non-aggravated burglary,0.1212,E21 Breach family violence order,0.1212,B11 Cause damage by fire,0.0606,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
Williams Landing,3027,Wyndham,566,2025,B42 Steal from a motor vehicle,0.2915,B41 Motor vehicle theft,0.0972,B49 Other theft,0.0972,B21 Criminal damage,0.0601,B311 Residential aggravated burglary,0.0583,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Williamstown,3016,Hobsons Bay,941,2025,B42 Steal from a motor vehicle,0.187,B21 Criminal damage,0.0871,B41 Motor vehicle theft,0.0861,B43 Steal from a retail store,0.085,B49 Other theft,0.0755,6402.7,10,71.0,Outer Western Melbourne,2025-09-30,420,523,670,600,800,1000,670,24,31,36,24,16,23,16,74.4,69.7,64.6,76.3,84.7,76.8,85.0
Williamstown North,3016,Hobsons Bay,208,2025,B49 Other theft,0.2019,B42 Steal from a motor vehicle,0.1923,B322 Non-residential non-aggravated burglary,0.0962,B41 Motor vehicle theft,0.0962,B43 Steal from a retail store,0.0625,6402.7,10,71.0,,,,,,,,,,,,,,,,,,,,,,,
Windsor,3181,Stonnington,1114,2025,B42 Steal from a motor vehicle,0.1779,B49 Other theft,0.0943,B321 Residential non-aggravated burglary,0.0719,B43 Steal from a retail store,0.071,B21 Criminal damage,0.0701,9532.0,6,83.9,Inner Melbourne,2025-09-30,460,650,950,775,975,1350,590,16,11,7,6,8,7,25,83.3,89.9,93.9,94.8,92.9,93.7,76.0
Wollert,3750,Whittlesea,1109,2025,B49 Other theft,0.1912,B42 Steal from a motor vehicle,0.1731,B21 Criminal damage,0.0757,E21 Breach family violence order,0.0757,B321 Residential non-aggravated burglary,0.0739,5327.2,21,35.5,,,,,,,,,,,,,,,,,,,,,,,
Wonga Park,3115,Yarra Ranges,49,2025,B321 Residential non-aggravated burglary,0.1837,B311 Residential aggravated burglary,0.1633,B42 Steal from a motor vehicle,0.102,B49 Other theft,0.0816,Other crimes against the person,0.0612,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Woodstock,3755,Whittlesea,13,2025,B42 Steal from a motor vehicle,0.2308,B49 Other theft,0.2308,B321 Residential non-aggravated burglary,0.1538,Other crimes against the person,0.0769,B22 Graffiti,0.0769,5327.2,21,35.5,,,,,,,,,,,,,,,,,,,,,,,
Woori Yallock,3139,Yarra Ranges,81,2025,E21 Breach family violence order,0.1605,B21 Criminal damage,0.1235,B42 Steal from a motor vehicle,0.0988,B49 Other theft,0.0988,B321 Residential non-aggravated burglary,0.0741,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Wyndham Vale,3024,Wyndham,1224,2025,B42 Steal from a motor vehicle,0.1364,B49 Other theft,0.1185,E21 Breach family violence order,0.1136,B21 Criminal damage,0.0842,B321 Residential non-aggravated burglary,0.076,5389.9,19,41.9,,,,,,,,,,,,,,,,,,,,,,,
Yallambie,3085,Banyule,86,2025,B42 Steal from a motor vehicle,0.1395,Other crimes against the person,0.1163,A231 FV Common assault,0.1047,B21 Criminal damage,0.1047,E21 Breach family violence order,0.1047,6137.2,13,61.3,,,,,,,,,,,,,,,,,,,,,,,
Yan Yean,3755,Whittlesea,11,2025,B49 Other theft,0.4545,B321 Residential non-aggravated burglary,0.1818,B322 Non-residential non-aggravated burglary,0.1818,B19 Other fire related offences,0.0909,B42 Steal from a motor vehicle,0.0909,5327.2,21,35.5,,,,,,,,,,,,,,,,,,,,,,,
Yannathan,3894,Cardinia,6,2025,B42 Steal from a motor vehicle,0.3333,B49 Other theft,0.3333,B11 Cause damage by fire,0.1667,B311 Residential aggravated burglary,0.1667,,,4967.7,24,25.8,,,,,,,,,,,,,,,,,,,,,,,
Yarra Glen,3775,Yarra Ranges,76,2025,B49 Other theft,0.1711,A231 FV Common assault,0.0658,B21 Criminal damage,0.0658,B43 Steal from a retail store,0.0658,B311 Residential aggravated burglary,0.0526,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Yarra Junction,3797,Yarra Ranges,124,2025,E21 Breach family violence order,0.1452,B21 Criminal damage,0.121,B49 Other theft,0.1048,A232 Non-FV Common assault,0.0726,Other crimes against the person,0.0645,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Yarrambat,3091,Nillumbik,43,2025,B321 Residential non-aggravated burglary,0.1628,B42 Steal from a motor vehicle,0.1395,E21 Breach family violence order,0.1395,B49 Other theft,0.093,A212 Non-FV Serious assault,0.0698,2567.5,31,3.2,,,,,,,,,,,,,,,,,,,,,,,
Yarraville,3013,Maribyrnong,1004,2025,B42 Steal from a motor vehicle,0.3157,B41 Motor vehicle theft,0.0956,B49 Other theft,0.0916,B21 Criminal damage,0.0588,B321 Residential non-aggravated burglary,0.0398,10545.5,4,90.3,Outer Western Melbourne,2025-09-30,393,520,730,600,720,850,620,27,32,26,24,22,32,21,71.1,68.7,74.7,76.3,78.6,67.4,80.0
Yellingbo,3139,Yarra Ranges,13,2025,B322 Non-residential non-aggravated burglary,0.2308,B19 Other fire related offences,0.1538,B42 Steal from a motor vehicle,0.1538,B49 Other theft,0.1538,A211 FV Serious assault,0.0769,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Yering,3770,Yarra Ranges,4,2025,A231 FV Common assault,0.25,A81 Dangerous driving,0.25,Other crimes against the person,0.25,B322 Non-residential non-aggravated burglary,0.25,,,3669.3,29,9.7,,,,,,,,,,,,,,,,,,,,,,,
Yuroke,3063,Hume,17,2025,B11 Cause damage by fire,0.1765,B42 Steal from a motor vehicle,0.1765,B49 Other theft,0.1765,A211 FV Serious assault,0.1176,B321 Residential non-aggravated burglary,0.1176,6346.4,11,67.7,,,,,,,,,,,,,,,,,,,,,,,
